ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-04,4317.93831806252,3673.69161780489,5179.027349653006,4317.93831806252,4317.93831806252,68.04561435907321,68.04561435907321,68.04561435907321,111.63239999999999,111.63239999999999,111.63239999999999,9.374020000046343,9.374020000046343,9.374020000046343,-52.96080564097312,-52.96080564097312,-52.96080564097312,0.0,0.0,0.0,4385.983932421594
2025-12-05,4317.085894813276,3565.5870948747142,5138.648735131127,4317.085894813276,4317.085894813276,34.83990537335213,34.83990537335213,34.83990537335213,111.63239999999999,111.63239999999999,111.63239999999999,-29.106635602674842,-29.106635602674842,-29.106635602674842,-47.68585902397302,-47.68585902397302,-47.68585902397302,0.0,0.0,0.0,4351.925800186628
2025-12-06,4316.2334715640345,3597.4088884084435,5148.580868992722,4316.2334715640345,4316.2334715640345,56.67488925383879,56.67488925383879,56.67488925383879,111.63239999999999,111.63239999999999,111.63239999999999,-11.679107666242675,-11.679107666242675,-11.679107666242675,-43.27840307991852,-43.27840307991852,-43.27840307991852,0.0,0.0,0.0,4372.9083608178735
2025-12-07,4315.381048314792,3659.7688869090107,5202.767942985802,4315.381048314792,4315.381048314792,85.72588043713286,85.72588043713286,85.72588043713286,111.63239999999999,111.63239999999999,111.63239999999999,13.855040592692779,13.855040592692779,13.855040592692779,-39.76156015555991,-39.76156015555991,-39.76156015555991,0.0,0.0,0.0,4401.106928751925
2025-12-08,4314.528625065549,3607.6769121461753,5148.701408298427,4314.528625065549,4314.528625065549,88.85301135012426,88.85301135012426,88.85301135012426,111.63239999999999,111.63239999999999,111.63239999999999,14.350511975603261,14.350511975603261,14.350511975603261,-37.12990062547898,-37.12990062547898,-37.12990062547898,0.0,0.0,0.0,4403.381636415674
2025-12-09,4313.676201816305,3682.8573847710422,5186.810529001953,4313.676201816305,4313.676201816305,50.99873981379489,50.99873981379489,50.99873981379489,111.63239999999999,111.63239999999999,111.63239999999999,-25.283218811175406,-25.283218811175406,-25.283218811175406,-35.35044137502969,-35.35044137502969,-35.35044137502969,0.0,0.0,0.0,4364.6749416301
2025-12-10,4312.823778567063,3658.9606651164886,5175.366491258062,4312.823778567063,4312.823778567063,105.75745601613121,105.75745601613121,105.75745601613121,111.63239999999999,111.63239999999999,111.63239999999999,28.489389511625692,28.489389511625692,28.489389511625692,-34.36433349549446,-34.36433349549446,-34.36433349549446,0.0,0.0,0.0,4418.581234583194
