ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-04,4188.36937158737,2515.5890742846664,4820.457117803987,4188.36937158737,4188.36937158737,-496.99609906533226,-496.99609906533226,-496.99609906533226,-441.17639488000003,-441.17639488000003,-441.17639488000003,6.567700365214675,6.567700365214675,6.567700365214675,-62.38740455054688,-62.38740455054688,-62.38740455054688,0.0,0.0,0.0,3691.3732725220375
2025-12-05,4189.237563677407,2423.0971700941254,4899.712382978984,4189.237563677407,4189.237563677407,-511.95261316376286,-511.95261316376286,-511.95261316376286,-441.17639488000003,-441.17639488000003,-441.17639488000003,-12.476596446252518,-12.476596446252518,-12.476596446252518,-58.29962183751026,-58.29962183751026,-58.29962183751026,0.0,0.0,0.0,3677.2849505136437
2025-12-06,4190.105755767443,2538.9818709911237,4923.512171495628,4190.105755767443,4190.105755767443,-444.42985957359843,-444.42985957359843,-444.42985957359843,-441.17639488000003,-441.17639488000003,-441.17639488000003,50.182475271837056,50.182475271837056,50.182475271837056,-53.43593996543546,-53.43593996543546,-53.43593996543546,0.0,0.0,0.0,3745.6758961938444
2025-12-07,4190.973947857478,2424.466235232666,4840.148301823978,4190.973947857478,4190.973947857478,-505.6866705581076,-505.6866705581076,-505.6866705581076,-441.17639488000003,-441.17639488000003,-441.17639488000003,-16.69639179282932,-16.69639179282932,-16.69639179282932,-47.813883885278365,-47.813883885278365,-47.813883885278365,0.0,0.0,0.0,3685.2872772993705
2025-12-08,4191.842139947514,2521.820297684069,4873.941000147105,4191.842139947514,4191.842139947514,-501.02673480596513,-501.02673480596513,-501.02673480596513,-441.17639488000003,-441.17639488000003,-441.17639488000003,-18.37813833581779,-18.37813833581779,-18.37813833581779,-41.47220159014737,-41.47220159014737,-41.47220159014737,0.0,0.0,0.0,3690.8154051415486
2025-12-09,4192.710332037552,2489.236875302413,4926.268601686894,4192.710332037552,4192.710332037552,-469.42304070499296,-469.42304070499296,-469.42304070499296,-441.17639488000003,-441.17639488000003,-441.17639488000003,6.223687136271267,6.223687136271267,6.223687136271267,-34.4703329612642,-34.4703329612642,-34.4703329612642,0.0,0.0,0.0,3723.2872913325587
2025-12-10,4193.578524127587,2472.869101816917,4996.636004088808,4193.578524127587,4193.578524127587,-483.4863874360281,-483.4863874360281,-483.4863874360281,-441.17639488000003,-441.17639488000003,-441.17639488000003,-15.422736198553718,-15.422736198553718,-15.422736198553718,-26.887256357474392,-26.887256357474392,-26.887256357474392,0.0,0.0,0.0,3710.092136691559
