ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-04,11290.301122600504,11900.792065651074,16427.220161689103,11290.301122600504,11290.301122600504,2851.7243354350762,2851.7243354350762,2851.7243354350762,3043.344,3043.344,3043.344,110.89279640000872,110.89279640000872,110.89279640000872,-302.5124609649326,-302.5124609649326,-302.5124609649326,0.0,0.0,0.0,14142.02545803558
2025-12-05,11293.19245455527,11874.94742602343,16018.351703886621,11293.19245455527,11293.19245455527,2698.913147810814,2698.913147810814,2698.913147810814,3043.344,3043.344,3043.344,48.851753243440804,48.851753243440804,48.851753243440804,-393.2826054326272,-393.2826054326272,-393.2826054326272,0.0,0.0,0.0,13992.105602366084
2025-12-06,11296.083786510031,11663.483448057134,15999.197560660326,11296.083786510031,11296.083786510031,2535.7275249103277,2535.7275249103277,2535.7275249103277,3043.344,3043.344,3043.344,-30.930142786743875,-30.930142786743875,-30.930142786743875,-476.6863323029285,-476.6863323029285,-476.6863323029285,0.0,0.0,0.0,13831.811311420359
2025-12-07,11298.975118464796,11632.354513986149,15876.423937918615,11298.975118464796,11298.975118464796,2389.3185139728052,2389.3185139728052,2389.3185139728052,3043.344,3043.344,3043.344,-103.14104888045556,-103.14104888045556,-103.14104888045556,-550.8844371467393,-550.8844371467393,-550.8844371467393,0.0,0.0,0.0,13688.2936324376
2025-12-08,11301.866450419559,11409.711458214999,15897.262030288299,11301.866450419559,11301.866450419559,2441.7184330837676,2441.7184330837676,2441.7184330837676,3043.344,3043.344,3043.344,12.626317533138291,12.626317533138291,12.626317533138291,-614.2518844493706,-614.2518844493706,-614.2518844493706,0.0,0.0,0.0,13743.584883503327
2025-12-09,11304.757782374325,11423.904128320091,15967.19696472151,11304.757782374325,11304.757782374325,2336.0742971947348,2336.0742971947348,2336.0742971947348,3043.344,3043.344,3043.344,-41.85305688736739,-41.85305688736739,-41.85305688736739,-665.416645917898,-665.416645917898,-665.416645917898,0.0,0.0,0.0,13640.83207956906
2025-12-10,11307.649114329088,11535.3321930795,15793.27124447236,11307.649114329088,11307.649114329088,2343.605115561079,2343.605115561079,2343.605115561079,3043.344,3043.344,3043.344,3.553381378118569,3.553381378118569,3.553381378118569,-703.2922658170395,-703.2922658170395,-703.2922658170395,0.0,0.0,0.0,13651.254229890166
