ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-04,17302.1454218824,10898.726513169535,18304.466521227325,17302.1454218824,17302.1454218824,-2624.2113359707664,-2624.2113359707664,-2624.2113359707664,-2256.6408,-2256.6408,-2256.6408,80.71103099989467,80.71103099989467,80.71103099989467,-448.28156697066106,-448.28156697066106,-448.28156697066106,0.0,0.0,0.0,14677.934085911635
2025-12-05,17303.145065123736,10843.724908645487,18264.707937234438,17303.145065123736,17303.145065123736,-2724.2284157572794,-2724.2284157572794,-2724.2284157572794,-2256.6408,-2256.6408,-2256.6408,-58.45498301298198,-58.45498301298198,-58.45498301298198,-409.1326327442973,-409.1326327442973,-409.1326327442973,0.0,0.0,0.0,14578.916649366456
2025-12-06,17304.14470836507,10900.369471341086,18227.135847136324,17304.14470836507,17304.14470836507,-2649.2848697163945,-2649.2848697163945,-2649.2848697163945,-2256.6408,-2256.6408,-2256.6408,-28.37436773945808,-28.37436773945808,-28.37436773945808,-364.269701976936,-364.269701976936,-364.269701976936,0.0,0.0,0.0,14654.859838648677
2025-12-07,17305.144351606403,10944.123086388892,18327.203875381685,17305.144351606403,17305.144351606403,-2539.601279093352,-2539.601279093352,-2539.601279093352,-2256.6408,-2256.6408,-2256.6408,31.260960099224338,31.260960099224338,31.260960099224338,-314.2214391925762,-314.2214391925762,-314.2214391925762,0.0,0.0,0.0,14765.54307251305
2025-12-08,17306.14399484774,10792.33991338001,18328.712696271163,17306.14399484774,17306.14399484774,-2558.653649410894,-2558.653649410894,-2558.653649410894,-2256.6408,-2256.6408,-2256.6408,-42.38587484862956,-42.38587484862956,-42.38587484862956,-259.62697456226437,-259.62697456226437,-259.62697456226437,0.0,0.0,0.0,14747.490345436843
2025-12-09,17307.143638089074,11247.09601050597,18660.924501447596,17307.143638089074,17307.143638089074,-2344.834732112807,-2344.834732112807,-2344.834732112807,-2256.6408,-2256.6408,-2256.6408,113.02906239243362,113.02906239243362,113.02906239243362,-201.22299450524073,-201.22299450524073,-201.22299450524073,0.0,0.0,0.0,14962.308905976266
2025-12-10,17308.143281330405,10975.120138609745,18440.093009493943,17308.143281330405,17308.143281330405,-2492.255022972897,-2492.255022972897,-2492.255022972897,-2256.6408,-2256.6408,-2256.6408,-95.78582789062739,-95.78582789062739,-95.78582789062739,-139.82839508226996,-139.82839508226996,-139.82839508226996,0.0,0.0,0.0,14815.888258357509
