ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-04,2019.7436669680333,1094.2524497048473,2776.6971048421087,2019.7436669680333,2019.7436669680333,-109.41397547610791,-109.41397547610791,-109.41397547610791,-18.582632,-18.582632,-18.582632,-7.500522400012792,-7.500522400012792,-7.500522400012792,-83.33082107609512,-83.33082107609512,-83.33082107609512,0.0,0.0,0.0,1910.3296914919254
2025-12-05,2020.2186606296523,1001.5019430331437,2872.3572971449344,2020.2186606296523,2020.2186606296523,-86.50544694755581,-86.50544694755581,-86.50544694755581,-18.582632,-18.582632,-18.582632,14.924056637380785,14.924056637380785,14.924056637380785,-82.8468715849366,-82.8468715849366,-82.8468715849366,0.0,0.0,0.0,1933.7132136820965
2025-12-06,2020.6936542912706,1040.0495456555363,2865.8731120557404,2020.6936542912706,2020.6936542912706,-80.8936651230001,-80.8936651230001,-80.8936651230001,-18.582632,-18.582632,-18.582632,20.193892019942467,20.193892019942467,20.193892019942467,-82.50492514294257,-82.50492514294257,-82.50492514294257,0.0,0.0,0.0,1939.7999891682705
2025-12-07,2021.168647952889,980.7514479578692,2790.5561011521254,2021.168647952889,2021.168647952889,-113.03648498707888,-113.03648498707888,-113.03648498707888,-18.582632,-18.582632,-18.582632,-12.18375979476812,-12.18375979476812,-12.18375979476812,-82.27009319231077,-82.27009319231077,-82.27009319231077,0.0,0.0,0.0,1908.13216296581
2025-12-08,2021.6436416145075,1018.321324763774,2820.9460871866354,2021.6436416145075,2021.6436416145075,-116.42899380820779,-116.42899380820779,-116.42899380820779,-18.582632,-18.582632,-18.582632,-15.748931141429235,-15.748931141429235,-15.748931141429235,-82.09743066677858,-82.09743066677858,-82.09743066677858,0.0,0.0,0.0,1905.2146478062996
2025-12-09,2022.1186352761263,1029.7271575824104,2845.712587008184,2022.1186352761263,2022.1186352761263,-92.1207549398957,-92.1207549398957,-92.1207549398957,-18.582632,-18.582632,-18.582632,8.395340797709043,8.395340797709043,8.395340797709043,-81.93346373760477,-81.93346373760477,-81.93346373760477,0.0,0.0,0.0,1929.9978803362305
2025-12-10,2022.5936289377444,1015.8080727877965,2862.1311815636636,2022.5936289377444,2022.5936289377444,-108.38073954998804,-108.38073954998804,-108.38073954998804,-18.582632,-18.582632,-18.582632,-8.080076118799612,-8.080076118799612,-8.080076118799612,-81.71803143118846,-81.71803143118846,-81.71803143118846,0.0,0.0,0.0,1914.2128893877564
