ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-02,42432.02193980156,24784.8257319311,60940.26308504602,42432.02193980156,42432.02193980156,1467.7453020328514,1467.7453020328514,1467.7453020328514,2267.8438,2267.8438,2267.8438,116.75571740913809,116.75571740913809,116.75571740913809,-916.8542153762867,-916.8542153762867,-916.8542153762867,0.0,0.0,0.0,43899.767241834415
2025-12-03,42433.65304934806,24285.931842319744,60896.20689547209,42433.65304934806,42433.65304934806,1124.6999650172756,1124.6999650172756,1124.6999650172756,2267.8438,2267.8438,2267.8438,-351.5719889756921,-351.5719889756921,-351.5719889756921,-791.5718460070323,-791.5718460070323,-791.5718460070323,0.0,0.0,0.0,43558.35301436533
2025-12-04,42435.28415889455,26377.06055195908,62210.70286212183,42435.28415889455,42435.28415889455,1509.0891633215592,1509.0891633215592,1509.0891633215592,2267.8438,2267.8438,2267.8438,-138.15184999983214,-138.15184999983214,-138.15184999983214,-620.6027866786088,-620.6027866786088,-620.6027866786088,0.0,0.0,0.0,43944.37332221611
2025-12-05,42436.91526844105,25880.26295996228,61371.00929901199,42436.91526844105,42436.91526844105,1119.3026156540823,1119.3026156540823,1119.3026156540823,2267.8438,2267.8438,2267.8438,-744.9975676222774,-744.9975676222774,-744.9975676222774,-403.5436167236404,-403.5436167236404,-403.5436167236404,0.0,0.0,0.0,43556.21788409513
2025-12-06,42438.54637798754,29020.317569537216,64365.79858812961,42438.54637798754,42438.54637798754,3567.0829817125887,3567.0829817125887,3567.0829817125887,2267.8438,2267.8438,2267.8438,1440.338800215565,1440.338800215565,1440.338800215565,-141.099618502977,-141.099618502977,-141.099618502977,0.0,0.0,0.0,46005.629359700135
2025-12-07,42440.17748753404,26336.18840661121,63828.55059649887,42440.17748753404,42440.17748753404,3272.7550879252585,3272.7550879252585,3272.7550879252585,2267.8438,2267.8438,2267.8438,840.0115000221251,840.0115000221251,840.0115000221251,164.89978790313333,164.89978790313333,164.89978790313333,0.0,0.0,0.0,45712.9325754593
2025-12-08,42441.80859708053,24757.70047603166,61732.214993743146,42441.80859708053,42441.80859708053,1616.971028862073,1616.971028862073,1616.971028862073,2267.8438,2267.8438,2267.8438,-1162.3846110542868,-1162.3846110542868,-1162.3846110542868,511.51183991635935,511.51183991635935,511.51183991635935,0.0,0.0,0.0,44058.7796259426
