ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-04,11037.534687255367,5911.124119516932,14594.604262666404,11037.534687255367,11037.534687255367,-689.5162293705899,-689.5162293705899,-689.5162293705899,-515.6858,-515.6858,-515.6858,123.2560000002012,123.2560000002012,123.2560000002012,-297.0864293707911,-297.0864293707911,-297.0864293707911,0.0,0.0,0.0,10348.018457884777
2025-12-05,11038.983309502259,5633.5264018993585,14206.38101788859,11038.983309502259,11038.983309502259,-1228.8763978422044,-1228.8763978422044,-1228.8763978422044,-515.6858,-515.6858,-515.6858,-360.451832789746,-360.451832789746,-360.451832789746,-352.7387650524584,-352.7387650524584,-352.7387650524584,0.0,0.0,0.0,9810.106911660054
2025-12-06,11040.431931749148,5756.611928991153,14383.229282086751,11040.431931749148,11040.431931749148,-785.0471050187396,-785.0471050187396,-785.0471050187396,-515.6858,-515.6858,-515.6858,141.7085441166941,141.7085441166941,141.7085441166941,-411.0698491354335,-411.0698491354335,-411.0698491354335,0.0,0.0,0.0,10255.38482673041
2025-12-07,11041.880553996038,5869.491193113945,14779.441111283033,11041.880553996038,11041.880553996038,-750.6633751453444,-750.6633751453444,-750.6633751453444,-515.6858,-515.6858,-515.6858,235.70709509130467,235.70709509130467,235.70709509130467,-470.684670236649,-470.684670236649,-470.684670236649,0.0,0.0,0.0,10291.217178850693
2025-12-08,11043.329176242927,5568.32324736376,14260.77151836228,11043.329176242927,11043.329176242927,-1220.6230912673495,-1220.6230912673495,-1220.6230912673495,-515.6858,-515.6858,-515.6858,-174.84505472036975,-174.84505472036975,-174.84505472036975,-530.0922365469797,-530.0922365469797,-530.0922365469797,0.0,0.0,0.0,9822.706084975578
2025-12-09,11044.77779848982,5761.696637139083,14715.938779582166,11044.77779848982,11044.77779848982,-1098.7750020207568,-1098.7750020207568,-1098.7750020207568,-515.6858,-515.6858,-515.6858,4.655734296302701,4.655734296302701,4.655734296302701,-587.7449363170595,-587.7449363170595,-587.7449363170595,0.0,0.0,0.0,9946.002796469063
2025-12-10,11046.22642073671,5446.566692839585,14085.362797998909,11046.22642073671,11046.22642073671,-1127.7970099966944,-1127.7970099966944,-1127.7970099966944,-515.6858,-515.6858,-515.6858,29.96951400343035,29.96951400343035,29.96951400343035,-642.0807240001249,-642.0807240001249,-642.0807240001249,0.0,0.0,0.0,9918.429410740015
