ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-04,8397.972455035784,5948.0751088347215,9436.466937225081,8397.972455035784,8397.972455035784,-623.3732799923692,-623.3732799923692,-623.3732799923692,-323.738,-323.738,-323.738,-10.193950000085811,-10.193950000085811,-10.193950000085811,-289.4413299922834,-289.4413299922834,-289.4413299922834,0.0,0.0,0.0,7774.599175043415
2025-12-05,8399.09281062885,6056.387150538918,9677.248990139315,8399.09281062885,8399.09281062885,-537.4484619845073,-537.4484619845073,-537.4484619845073,-323.738,-323.738,-323.738,74.42904900493188,74.42904900493188,74.42904900493188,-288.13951098943903,-288.13951098943903,-288.13951098943903,0.0,0.0,0.0,7861.644348644343
2025-12-06,8400.213166221913,6016.445013072466,9530.99039331398,8400.213166221913,8400.213166221913,-600.3917466605658,-600.3917466605658,-600.3917466605658,-323.738,-323.738,-323.738,8.376392385949877,8.376392385949877,8.376392385949877,-285.03013904651567,-285.03013904651567,-285.03013904651567,0.0,0.0,0.0,7799.821419561347
2025-12-07,8401.333521814977,6096.390900635149,9475.251535355741,8401.333521814977,8401.333521814977,-597.3255075253683,-597.3255075253683,-597.3255075253683,-323.738,-323.738,-323.738,6.556446681268608,6.556446681268608,6.556446681268608,-280.14395420663686,-280.14395420663686,-280.14395420663686,0.0,0.0,0.0,7804.008014289609
2025-12-08,8402.45387740804,6006.589378368925,9478.155991530626,8402.45387740804,8402.45387740804,-649.45004545993,-649.45004545993,-649.45004545993,-323.738,-323.738,-323.738,-52.18192702260807,-52.18192702260807,-52.18192702260807,-273.53011843732185,-273.53011843732185,-273.53011843732185,0.0,0.0,0.0,7753.003831948109
2025-12-09,8403.574233001103,6025.318681109357,9599.501341700934,8403.574233001103,8403.574233001103,-590.1934182763382,-590.1934182763382,-590.1934182763382,-323.738,-323.738,-323.738,-1.2026856263948278,-1.2026856263948278,-1.2026856263948278,-265.25273264994325,-265.25273264994325,-265.25273264994325,0.0,0.0,0.0,7813.3808147247655
2025-12-10,8404.694588594166,5999.110725811438,9525.276674970719,8404.694588594166,8404.694588594166,-604.90885095536,-604.90885095536,-604.90885095536,-323.738,-323.738,-323.738,-25.78332542293783,-25.78332542293783,-25.78332542293783,-255.38752553242216,-255.38752553242216,-255.38752553242216,0.0,0.0,0.0,7799.785737638806
