ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-02,77013.2011799646,33628.46228534996,68764.77228510157,77013.2011799646,77013.2011799646,-26091.83725723072,-26091.83725723072,-26091.83725723072,-26610.3963216,-26610.3963216,-26610.3963216,1702.0173270859596,1702.0173270859596,1702.0173270859596,-1183.4582627166808,-1183.4582627166808,-1183.4582627166808,0.0,0.0,0.0,50921.36392273388
2025-12-03,77019.54041791396,30416.740759561162,64742.87119948776,77019.54041791396,77019.54041791396,-29282.45965098231,-29282.45965098231,-29282.45965098231,-26610.3963216,-26610.3963216,-26610.3963216,-1080.383080868534,-1080.383080868534,-1080.383080868534,-1591.6802485137748,-1591.6802485137748,-1591.6802485137748,0.0,0.0,0.0,47737.08076693165
2025-12-04,77025.87965586332,29079.902079924857,65530.70304814266,77025.87965586332,77025.87965586332,-28819.112300140936,-28819.112300140936,-28819.112300140936,-26610.3963216,-26610.3963216,-26610.3963216,-225.28804971935313,-225.28804971935313,-225.28804971935313,-1983.4279288215826,-1983.4279288215826,-1983.4279288215826,0.0,0.0,0.0,48206.76735572238
2025-12-05,77032.21889381268,29244.945098065276,64852.52456354579,77032.21889381268,77032.21889381268,-29464.956122629075,-29464.956122629075,-29464.956122629075,-26610.3963216,-26610.3963216,-26610.3963216,-502.5343881220431,-502.5343881220431,-502.5343881220431,-2352.025412907031,-2352.025412907031,-2352.025412907031,0.0,0.0,0.0,47567.2627711836
2025-12-06,77038.55813176205,30251.712399475935,65435.09941595318,77038.55813176205,77038.55813176205,-30179.89456267721,-30179.89456267721,-30179.89456267721,-26610.3963216,-26610.3963216,-26610.3963216,-878.1471739363603,-878.1471739363603,-878.1471739363603,-2691.3510671408494,-2691.3510671408494,-2691.3510671408494,0.0,0.0,0.0,46858.66356908484
2025-12-07,77044.89736971141,30921.227076816685,64516.737197385766,77044.89736971141,77044.89736971141,-28657.34490023365,-28657.34490023365,-28657.34490023365,-26610.3963216,-26610.3963216,-26610.3963216,949.0059602195744,949.0059602195744,949.0059602195744,-2995.954538853223,-2995.954538853223,-2995.954538853223,0.0,0.0,0.0,48387.55246947776
2025-12-08,77051.23660766079,28181.146126449046,63659.375052285635,77051.23660766079,77051.23660766079,-29836.222293993713,-29836.222293993713,-29836.222293993713,-26610.3963216,-26610.3963216,-26610.3963216,35.32940533657842,35.32940533657842,35.32940533657842,-3261.155377730294,-3261.155377730294,-3261.155377730294,0.0,0.0,0.0,47215.014313667074
