ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-04,5411.037043754002,6076.79965779093,9475.882885570285,5411.037043754002,5411.037043754002,2413.3047828253793,2413.3047828253793,2413.3047828253793,2484.174,2484.174,2484.174,-48.030591000112864,-48.030591000112864,-48.030591000112864,-22.838626174507375,-22.838626174507375,-22.838626174507375,0.0,0.0,0.0,7824.341826579382
2025-12-05,5410.112672955792,6291.183526399626,9654.49498580916,5410.112672955792,5410.112672955792,2655.5856946778795,2655.5856946778795,2655.5856946778795,2484.174,2484.174,2484.174,204.7261089091783,204.7261089091783,204.7261089091783,-33.314414231298315,-33.314414231298315,-33.314414231298315,0.0,0.0,0.0,8065.698367633671
2025-12-06,5409.188302157581,6268.212768495217,9537.552233387123,5409.188302157581,5409.188302157581,2418.774876020407,2418.774876020407,2418.774876020407,2484.174,2484.174,2484.174,-21.83280131354327,-21.83280131354327,-21.83280131354327,-43.566322666049146,-43.566322666049146,-43.566322666049146,0.0,0.0,0.0,7827.963178177988
2025-12-07,5408.263931359372,6054.968303359007,9324.979612223633,5408.263931359372,5408.263931359372,2372.5724039771244,2372.5724039771244,2372.5724039771244,2484.174,2484.174,2484.174,-58.270562965452754,-58.270562965452754,-58.270562965452754,-53.33103305742259,-53.33103305742259,-53.33103305742259,0.0,0.0,0.0,7780.836335336497
2025-12-08,5407.339560561161,6119.838248551474,9532.879444904209,5407.339560561161,5407.339560561161,2453.7194339884504,2453.7194339884504,2453.7194339884504,2484.174,2484.174,2484.174,31.908530423024754,31.908530423024754,31.908530423024754,-62.36309643457372,-62.36309643457372,-62.36309643457372,0.0,0.0,0.0,7861.058994549612
2025-12-09,5406.415189762951,6110.545285592321,9274.60326281742,5406.415189762951,5406.415189762951,2332.690987701814,2332.690987701814,2332.690987701814,2484.174,2484.174,2484.174,-81.0429626536579,-81.0429626536579,-81.0429626536579,-70.44004964452786,-70.44004964452786,-70.44004964452786,0.0,0.0,0.0,7739.106177464764
2025-12-10,5405.49081896474,5884.4834107036595,9473.953209066643,5405.49081896474,5405.49081896474,2379.349534648658,2379.349534648658,2379.349534648658,2484.174,2484.174,2484.174,-27.457721398676952,-27.457721398676952,-27.457721398676952,-77.36674395266478,-77.36674395266478,-77.36674395266478,0.0,0.0,0.0,7784.840353613398
