ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-04,2463.041276972637,1161.1239943578187,2847.5644351249266,2463.041276972637,2463.041276972637,-451.1648129556539,-451.1648129556539,-451.1648129556539,-448.8032,-448.8032,-448.8032,16.1116959999774,16.1116959999774,16.1116959999774,-18.47330895563126,-18.47330895563126,-18.47330895563126,0.0,0.0,0.0,2011.8764640169834
2025-12-05,2463.358851285177,1197.401498434647,2843.4888830203963,2463.358851285177,2463.358851285177,-477.37997853649915,-477.37997853649915,-477.37997853649915,-448.8032,-448.8032,-448.8032,-7.033548406439473,-7.033548406439473,-7.033548406439473,-21.54323013005969,-21.54323013005969,-21.54323013005969,0.0,0.0,0.0,1985.978872748678
2025-12-06,2463.6764255977164,1124.53870192533,2811.0722997954654,2463.6764255977164,2463.6764255977164,-472.4583224737462,-472.4583224737462,-472.4583224737462,-448.8032,-448.8032,-448.8032,1.6342586534883696,1.6342586534883696,1.6342586534883696,-25.289381127234556,-25.289381127234556,-25.289381127234556,0.0,0.0,0.0,1991.2181031239702
2025-12-07,2463.993999910256,1155.5751506227007,2796.1879279690565,2463.993999910256,2463.993999910256,-479.0277163108949,-479.0277163108949,-479.0277163108949,-448.8032,-448.8032,-448.8032,-0.6414193296208366,-0.6414193296208366,-0.6414193296208366,-29.58309698127407,-29.58309698127407,-29.58309698127407,0.0,0.0,0.0,1984.9662835993613
2025-12-08,2464.311574222796,1143.216581571775,2780.2922813281716,2464.311574222796,2464.311574222796,-499.8207064504522,-499.8207064504522,-499.8207064504522,-448.8032,-448.8032,-448.8032,-16.743543612713513,-16.743543612713513,-16.743543612713513,-34.27396283773866,-34.27396283773866,-34.27396283773866,0.0,0.0,0.0,1964.4908677723438
2025-12-09,2464.629148535336,1229.0738219851967,2793.5167576670324,2464.629148535336,2464.629148535336,-462.70981346039366,-462.70981346039366,-462.70981346039366,-448.8032,-448.8032,-448.8032,25.287271263281507,25.287271263281507,25.287271263281507,-39.193884723675154,-39.193884723675154,-39.193884723675154,0.0,0.0,0.0,2001.9193350749422
2025-12-10,2464.946722847875,1117.038513028152,2750.697425879805,2464.946722847875,2464.946722847875,-511.579639221995,-511.579639221995,-511.579639221995,-448.8032,-448.8032,-448.8032,-18.614714568004675,-18.614714568004675,-18.614714568004675,-44.16172465399033,-44.16172465399033,-44.16172465399033,0.0,0.0,0.0,1953.3670836258802
