ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-02,13541.527971639398,5772.188803858394,14223.222376344533,13541.527971639398,13541.527971639398,-3467.143193265611,-3467.143193265611,-3467.143193265611,-2237.94,-2237.94,-2237.94,-455.7472231789817,-455.7472231789817,-455.7472231789817,-773.455970086629,-773.455970086629,-773.455970086629,0.0,0.0,0.0,10074.384778373787
2025-12-03,13543.538176172415,6453.930688878416,15172.575466603459,13543.538176172415,13543.538176172415,-2647.701088105558,-2647.701088105558,-2647.701088105558,-2237.94,-2237.94,-2237.94,228.02789719451872,228.02789719451872,228.02789719451872,-637.7889853000767,-637.7889853000767,-637.7889853000767,0.0,0.0,0.0,10895.837088066857
2025-12-04,13545.548380705432,6439.56758898711,15100.150882218257,13545.548380705432,13545.548380705432,-2684.6877486630874,-2684.6877486630874,-2684.6877486630874,-2237.94,-2237.94,-2237.94,48.07349999972608,48.07349999972608,48.07349999972608,-494.8212486628133,-494.8212486628133,-494.8212486628133,0.0,0.0,0.0,10860.860632042344
2025-12-05,13547.558585238448,7146.541897443822,15748.451654707187,13547.558585238448,13547.558585238448,-1969.476364816504,-1969.476364816504,-1969.476364816504,-2237.94,-2237.94,-2237.94,615.2707949653994,615.2707949653994,615.2707949653994,-346.8071597819035,-346.8071597819035,-346.8071597819035,0.0,0.0,0.0,11578.082220421944
2025-12-06,13549.568789771463,6331.007347140463,15232.241704985317,13549.568789771463,13549.568789771463,-2728.798671069173,-2728.798671069173,-2728.798671069173,-2237.94,-2237.94,-2237.94,-294.7325909011878,-294.7325909011878,-294.7325909011878,-196.12608016798555,-196.12608016798555,-196.12608016798555,0.0,0.0,0.0,10820.77011870229
2025-12-07,13551.57899430448,7291.344522961217,15467.837621741757,13551.57899430448,13551.57899430448,-2254.2236460766117,-2254.2236460766117,-2254.2236460766117,-2237.94,-2237.94,-2237.94,28.947403193672336,28.947403193672336,28.947403193672336,-45.23104927028404,-45.23104927028404,-45.23104927028404,0.0,0.0,0.0,11297.35534822787
2025-12-08,13553.5891988375,6755.292140221753,15541.07341518113,13553.5891988375,13553.5891988375,-2304.375013558112,-2304.375013558112,-2304.375013558112,-2237.94,-2237.94,-2237.94,-169.8397812702841,-169.8397812702841,-169.8397812702841,103.40476771217176,103.40476771217176,103.40476771217176,0.0,0.0,0.0,11249.214185279388
