ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-04,12727.978265352302,4890.709377417638,13201.301418412504,12727.978265352302,12727.978265352302,-3832.3669122368055,-3832.3669122368055,-3832.3669122368055,-3660.7336,-3660.7336,-3660.7336,-56.328639250169445,-56.328639250169445,-56.328639250169445,-115.30467298663596,-115.30467298663596,-115.30467298663596,0.0,0.0,0.0,8895.611353115495
2025-12-05,12726.404181677064,4691.958940608308,12866.505637472936,12726.404181677064,12726.404181677064,-3837.235462525417,-3837.235462525417,-3837.235462525417,-3660.7336,-3660.7336,-3660.7336,-8.708163939461304,-8.708163939461304,-8.708163939461304,-167.79369858595547,-167.79369858595547,-167.79369858595547,0.0,0.0,0.0,8889.168719151647
2025-12-06,12724.830098001827,4615.463632407627,12598.636605802736,12724.830098001827,12724.830098001827,-3973.206419936731,-3973.206419936731,-3973.206419936731,-3660.7336,-3660.7336,-3660.7336,-95.15033414965686,-95.15033414965686,-95.15033414965686,-217.32248578707384,-217.32248578707384,-217.32248578707384,0.0,0.0,0.0,8751.623678065096
2025-12-07,12723.25601432659,4966.191871141702,13099.806060075092,12723.25601432659,12723.25601432659,-3822.245218218188,-3822.245218218188,-3822.245218218188,-3660.7336,-3660.7336,-3660.7336,101.24567057081151,101.24567057081151,101.24567057081151,-262.7572887889993,-262.7572887889993,-262.7572887889993,0.0,0.0,0.0,8901.010796108401
2025-12-08,12721.681930651353,4603.404586055934,12848.15429757382,12721.681930651353,12721.681930651353,-3882.3203367648234,-3882.3203367648234,-3882.3203367648234,-3660.7336,-3660.7336,-3660.7336,81.46564206784855,81.46564206784855,81.46564206784855,-303.05237883267216,-303.05237883267216,-303.05237883267216,0.0,0.0,0.0,8839.36159388653
2025-12-09,12720.107846976116,4689.541944798918,12695.089853700762,12720.107846976116,12720.107846976116,-3892.819256963182,-3892.819256963182,-3892.819256963182,-3660.7336,-3660.7336,-3660.7336,105.19109563181277,105.19109563181277,105.19109563181277,-337.27675259499466,-337.27675259499466,-337.27675259499466,0.0,0.0,0.0,8827.288590012933
2025-12-10,12718.53376330088,3870.5856718051723,12355.910699570912,12718.53376330088,12718.53376330088,-4153.087038499292,-4153.087038499292,-4153.087038499292,-3660.7336,-3660.7336,-3660.7336,-127.71527093070522,-127.71527093070522,-127.71527093070522,-364.6381675685875,-364.6381675685875,-364.6381675685875,0.0,0.0,0.0,8565.446724801588
