ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-08,4392.0100726691535,1337.1037964847949,6064.996604735016,4392.0100726691535,4392.0100726691535,-563.4585314665488,-563.4585314665488,-563.4585314665488,-451.94447999999994,-451.94447999999994,-451.94447999999994,-34.81116831913031,-34.81116831913031,-34.81116831913031,-76.70288314741853,-76.70288314741853,-76.70288314741853,0.0,0.0,0.0,3828.5515412026048
2023-12-09,4392.96727295724,1269.1400995820325,6352.733186736667,4392.96727295724,4392.96727295724,-517.5397534731931,-517.5397534731931,-517.5397534731931,-451.94447999999994,-451.94447999999994,-451.94447999999994,-4.089332802524188,-4.089332802524188,-4.089332802524188,-61.50594067066887,-61.50594067066887,-61.50594067066887,0.0,0.0,0.0,3875.4275194840475
2023-12-10,4393.924473245328,1503.4770666261604,6436.160010581227,4393.924473245328,4393.924473245328,-436.58679996342505,-436.58679996342505,-436.58679996342505,-451.94447999999994,-451.94447999999994,-451.94447999999994,65.20745485784056,65.20745485784056,65.20745485784056,-49.84977482126562,-49.84977482126562,-49.84977482126562,0.0,0.0,0.0,3957.337673281903
2023-12-11,4394.881673533415,1673.1372722415401,6546.383321696876,4394.881673533415,4394.881673533415,-413.6958968579675,-413.6958968579675,-413.6958968579675,-451.94447999999994,-451.94447999999994,-451.94447999999994,79.37485174082339,79.37485174082339,79.37485174082339,-41.12626859879089,-41.12626859879089,-41.12626859879089,0.0,0.0,0.0,3981.1857766754474
2023-12-12,4395.838873821503,1349.3334925899678,6221.682148999306,4395.838873821503,4395.838873821503,-512.396791167524,-512.396791167524,-512.396791167524,-451.94447999999994,-451.94447999999994,-451.94447999999994,-25.78461181655502,-25.78461181655502,-25.78461181655502,-34.667699350968995,-34.667699350968995,-34.667699350968995,0.0,0.0,0.0,3883.4420826539786
2023-12-13,4396.79607410959,1293.2126856770665,6501.3390800251045,4396.79607410959,4396.79607410959,-535.214127173306,-535.214127173306,-535.214127173306,-451.94447999999994,-451.94447999999994,-451.94447999999994,-53.494603160475286,-53.494603160475286,-53.494603160475286,-29.775044012830723,-29.775044012830723,-29.775044012830723,0.0,0.0,0.0,3861.581946936284
2023-12-14,4397.753274397676,1386.8030657625168,6316.271312782544,4397.753274397676,4397.753274397676,-504.09347797917314,-504.09347797917314,-504.09347797917314,-451.94447999999994,-451.94447999999994,-451.94447999999994,-26.402590499999814,-26.402590499999814,-26.402590499999814,-25.746407479173346,-25.746407479173346,-25.746407479173346,0.0,0.0,0.0,3893.659796418503
