ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-02,63028.26337537661,41515.88086410143,70676.93505414814,63028.26337537661,63028.26337537661,-7085.408473632834,-7085.408473632834,-7085.408473632834,-7774.8832,-7774.8832,-7774.8832,678.8980550465541,678.8980550465541,678.8980550465541,10.5766713206122,10.5766713206122,10.5766713206122,0.0,0.0,0.0,55942.854901743776
2025-12-03,63035.05758402379,39589.835000271094,68909.80440480505,63035.05758402379,63035.05758402379,-9066.39125551928,-9066.39125551928,-9066.39125551928,-7774.8832,-7774.8832,-7774.8832,-688.8912458882681,-688.8912458882681,-688.8912458882681,-602.6168096310117,-602.6168096310117,-602.6168096310117,0.0,0.0,0.0,53968.66632850451
2025-12-04,63041.85179267097,40544.22152230941,71178.4287973952,63041.85179267097,63041.85179267097,-7056.67332136238,-7056.67332136238,-7056.67332136238,-7774.8832,-7774.8832,-7774.8832,1912.3717999994724,1912.3717999994724,1912.3717999994724,-1194.1619213618521,-1194.1619213618521,-1194.1619213618521,0.0,0.0,0.0,55985.17847130859
2025-12-05,63048.64600131816,36635.302221055164,68278.43660231285,63048.64600131816,63048.64600131816,-10944.936305174768,-10944.936305174768,-10944.936305174768,-7774.8832,-7774.8832,-7774.8832,-1416.3836254432242,-1416.3836254432242,-1416.3836254432242,-1753.669479731542,-1753.669479731542,-1753.669479731542,0.0,0.0,0.0,52103.709696143385
2025-12-06,63055.44020996534,37092.495087262345,66838.99343464966,63055.44020996534,63055.44020996534,-10719.141521146712,-10719.141521146712,-10719.141521146712,-7774.8832,-7774.8832,-7774.8832,-672.5718301916341,-672.5718301916341,-672.5718301916341,-2271.6864909550773,-2271.6864909550773,-2271.6864909550773,0.0,0.0,0.0,52336.29868881863
2025-12-07,63062.23441861252,39168.005519802544,68627.10909886725,63062.23441861252,63062.23441861252,-9610.899831883635,-9610.899831883635,-9610.899831883635,-7774.8832,-7774.8832,-7774.8832,903.8614359670095,903.8614359670095,903.8614359670095,-2739.8780678506428,-2739.8780678506428,-2739.8780678506428,0.0,0.0,0.0,53451.33458672889
2025-12-08,63069.02862725971,36109.42321661032,67115.05090722571,63069.02862725971,63069.02862725971,-11643.34766083441,-11643.34766083441,-11643.34766083441,-7774.8832,-7774.8832,-7774.8832,-717.2845894927117,-717.2845894927117,-717.2845894927117,-3151.179871341698,-3151.179871341698,-3151.179871341698,0.0,0.0,0.0,51425.680966425294
